Account Name,,Legal Name,Company Exists,Active,Employees,Incorporation Year,Incorporation State / Providence,Incorporation Country,Website,Exit Year,Shipping Street,Shipping City,Shipping State/Province,Shipping Country,UEI,
"Empowered Wellness, LLC",,,Yes,TRUE,8,2021,,,https://epwellness.net/,,5812 Barnwood Pl,Columbia,Maryland,United States,,
STAR Leadership Institute,,,Yes,TRUE,,,,,,,,,,United States,,
"The Literacy Rescue, LLC",,,Yes,TRUE,1,2020,,,https://literacyrescue.org,,1215 Saint Agnes Ln,Gwynn Oak,Maryland,United States,,
Science Inquiry Learning,,,No,TRUE,,,,,,,,,,United States,,
Carnegie Mellon University,,,No,TRUE,,,,,,,,,,United States,,
UNC Weight Research,,,No,TRUE,2,2019,,,,,1700 Martin Luther King Jr Blvd,Chapel Hill,North Carolina,United States,,
Coast Vital,,,Yes,TRUE,,,,,,,,,,United States,,
Banso Sauce,,,No,TRUE,1,,,,,,,,,United States,,
YMO Bags,,,No,TRUE,,,,,,,,,,United States,,
Li-iL,,,No,TRUE,,,,,,,,,,United States,,
Apple Tree Architecture Project,,,No,TRUE,,,,,,,,,,United States,,
Performab,,,No,TRUE,,,,,,,,,,United States,,
Dost,,,No,TRUE,,,,,,,,,,United States,,
SwimMission Swim Cap,,,No,TRUE,,,,,,,,,,United States,,
Deep Dive,,,No,TRUE,,,,,,,,,,United States,,
Team Kai,,,No,TRUE,,,,,,,,,,United States,,
"Djit Medtech, Inc.",,,No,TRUE,3,2022,,,https://www.djit-medtech.com/,,1628 Bolton Street,Baltimore,Maryland,United States,,
CryptoGames,,,No,TRUE,,,,,,,,,,United States,,
Edulis Therapeutics Inc.,,,No,TRUE,3,2022,,,www.edulis.xyz,,,Pittsburgh,Pennsylvania,United States,,
Tri-IT Solutions,,,Yes,TRUE,1,2011,,,https://www.tri-itsolutions.com/,,10003 Marriottsville Rd,Randallstown,Maryland,United States,,
Vision Planning and Consulting,,,,TRUE,,,,,,,,,,United States,,
"Pretzl, LLC",,,,TRUE,,,,,,,,,,United States,,
University Startups,,,,TRUE,,,,,,,,,,United States,,
Myriddian LLC,,,,TRUE,,,,,,,,,,United States,,
"SeeTrue Technology, LLC",,,,TRUE,,,,,,,,,,United States,,
Slip Signal Technologies LLC,,,,TRUE,,,,,,,,,,United States,,
"Sciens Innovations, LLC",,,,TRUE,,,,,,,,,,United States,,
CurieDx,,,,TRUE,,,,,,,,,,United States,,
Healable,,,,TRUE,,,,,,,,,,United States,,
Datalytica,,,,TRUE,,,,,,,,,,United States,,
"Emission Strategies, Inc. d/b/a Sinc Energy",,,Yes,TRUE,,,,,,,,,,United States,,
